,machine_id,mem_util_percent,label
2018-01-02 13:10:00,m_1939,91.25,Anomaly
2018-01-02 13:15:00,m_1939,91.5,Anomaly
2018-01-02 13:20:00,m_1939,93.66666666666669,Anomaly
2018-01-02 20:35:00,m_1939,92.0,Anomaly
2018-01-02 20:40:00,m_1939,92.0,Anomaly
2018-01-02 20:45:00,m_1939,95.25,Anomaly
2018-01-02 20:50:00,m_1939,94.75,Anomaly
2018-01-02 20:55:00,m_1939,90.5,Anomaly
2018-01-02 21:00:00,m_1939,93.5,Anomaly
2018-01-02 21:05:00,m_1939,93.75,Anomaly
2018-01-02 21:10:00,m_1939,93.33333333333331,Anomaly
2018-01-02 21:15:00,m_1939,95.66666666666669,Anomaly
2018-01-02 21:20:00,m_1939,94.0,Anomaly
2018-01-02 21:25:00,m_1939,93.11111111111113,Anomaly
2018-01-02 21:30:00,m_1939,91.66666666666669,Anomaly
2018-01-02 21:35:00,m_1939,91.5,Anomaly
2018-01-02 21:40:00,m_1939,91.0,Anomaly
2018-01-02 21:45:00,m_1939,91.25,Anomaly
2018-01-02 21:50:00,m_1939,90.2,Anomaly
2018-01-02 21:55:00,m_1939,90.0,Anomaly
2018-01-02 22:00:00,m_1939,92.2,Anomaly
2018-01-02 22:05:00,m_1939,91.0,Anomaly
2018-01-02 22:10:00,m_1939,94.5,Anomaly
2018-01-02 22:15:00,m_1939,92.0,Anomaly
2018-01-02 22:20:00,m_1939,93.0,Anomaly
2018-01-02 22:25:00,m_1939,93.0,Anomaly
2018-01-02 22:30:00,m_1939,94.5,Anomaly
2018-01-02 22:35:00,m_1939,94.33333333333331,Anomaly
2018-01-02 22:40:00,m_1939,95.66666666666669,Anomaly
2018-01-02 22:45:00,m_1939,91.75,Anomaly
2018-01-02 22:50:00,m_1939,92.0,Anomaly
2018-01-02 22:55:00,m_1939,91.0,Anomaly
2018-01-02 23:00:00,m_1939,90.8,Anomaly
2018-01-02 23:05:00,m_1939,93.8,Anomaly
2018-01-02 23:10:00,m_1939,92.75,Anomaly
2018-01-02 23:15:00,m_1939,92.5,Anomaly
